SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, -0.00278872, -0.01421483, -0.99975163, 0.01037820, 0.01556765, -0.03616191, -50.65894318, -33.51216125, 44.68095779, 0.70430845, 0.20624962, 0.80595565, -0.99995482, 0.00613339, 0.00184301, 0.00702202, -0.00003980, 0.00007140, -0.00014450, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, -0.00250200, -0.01428304, -0.99881065, 0.02780417, -0.00137553, -0.07058016, -50.65894318, -33.51216125, 44.68095779, 0.70449537, 0.20674139, 0.80523509, -0.99995494, 0.00613500, 0.00184728, 0.00701571, -0.00031535, 0.00013230, -0.00108700, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, -0.00281524, -0.01458105, -0.99972498, -0.05922052, -0.02023772, 0.07103821, -51.02153778, -31.74085426, 44.64585495, 0.70476830, 0.20660783, 0.80594504, -0.99995482, 0.00613738, 0.00184617, 0.00702190, -0.00001051, 0.00042299, -0.00017004, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, -0.00282942, -0.01435569, -1.00087953, -0.05921190, 0.04922539, 0.05281425, -51.05779648, -32.18368149, 44.62830734, 0.70433432, 0.20708503, 0.80647999, -0.99995488, 0.00613356, 0.00185033, 0.00702655, 0.00000278, 0.00020373, 0.00098404, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, -0.00333898, -0.01503627, -1.00036538, -0.00643447, 0.08366071, -0.03527035, -50.69519806, -32.62651062, 44.55811691, 0.70568705, 0.20723285, 0.80617255, -0.99995470, 0.00614536, 0.00185169, 0.00702384, 0.00052050, 0.00086598, 0.00047465, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, -0.00344124, -0.01361027, -0.99986154, -0.02242394, 0.02983787, 0.01711681, -51.74673080, -33.40145493, 44.50547409, 0.70457095, 0.20653257, 0.80640185, -0.99995476, 0.00613566, 0.00184552, 0.00702590, 0.00061646, -0.00054615, -0.00003132, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, -0.00338650, -0.01327268, -0.99714816, 0.01270059, -0.02169410, -0.05361493, -51.74673080, -33.40145493, 44.50547409, 0.70436543, 0.20610917, 0.80586618, -0.99995482, 0.00613390, 0.00184179, 0.00702125, 0.00057360, -0.00087733, -0.00274566, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, -0.00381488, -0.01303711, -0.99674630, -0.00539500, 0.06407003, 0.00074055, -51.60168839, -32.01762009, 44.47037506, 0.70395672, 0.20652461, 0.80589533, -0.99995494, 0.00613030, 0.00184539, 0.00702149, 0.00100959, -0.00110396, -0.00314524, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, -0.00251559, -0.01393772, -0.99978119, 0.03084418, -0.07434026, -0.05367349, -51.67420959, -32.90327454, 44.82133865, 0.70393187, 0.20643079, 0.80533457, -0.99995488, 0.00613010, 0.00184454, 0.00701660, -0.00030880, -0.00020553, -0.00011724, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, -0.00239767, -0.01326851, -0.99956149, -0.00611986, 0.04775299, -0.03295724, -51.60168839, -32.29438782, 44.52302170, 0.70249456, 0.20817000, 0.80496681, -0.99995494, 0.00611746, 0.00185961, 0.00701332, -0.00041833, -0.00086292, -0.00033897, 0.00000000, 0.00000000, 0.00000000, 0.00000000
