SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, -0.00133558, 0.00810515, -1.00156462, -0.02118125, 0.04246204, -0.04839651, -5.48615694, -19.48448944, -50.30708694, -0.39996749, -0.02038799, 13.98081589, 0.99256057, 0.00344277, 0.00060138, -0.12170178, 0.00098058, -0.00113269, 0.00158901, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, -0.00057623, 0.00844607, -1.00184143, 0.06752539, -0.06167802, -0.01470590, -5.06619167, -20.21798515, -50.47650909, -0.40040997, -0.02113543, 13.98071480, 0.99256063, 0.00344581, 0.00060832, -0.12170088, 0.00021216, -0.00146058, 0.00186592, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, -0.00084119, 0.00739928, -1.00099635, -0.00412766, 0.05985971, -0.01221215, -5.06619167, -20.21798515, -50.47650909, -0.40080914, -0.02145484, 13.98057270, 0.99256080, 0.00344893, 0.00061151, -0.12169963, 0.00046697, -0.00040586, 0.00102080, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, -0.00004108, 0.00782552, -1.00380385, 0.10160930, -0.14773959, -0.03287999, -5.53865337, -20.31263161, -50.23447800, -0.39992264, -0.02292543, 13.98026180, 0.99256116, 0.00343969, 0.00062330, -0.12169689, -0.00034742, -0.00083789, 0.00382832, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.00143413, 0.00745172, -1.00250769, 0.01114653, 0.04463045, -0.04661250, -5.85362673, -20.02869797, -50.30708694, -0.40000030, -0.02082220, 13.97986412, 0.99256158, 0.00344260, 0.00060515, -0.12169352, -0.00181627, -0.00046236, 0.00253217, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.00170389, 0.00544397, -0.99993825, 0.02875451, 0.00849562, -0.01126867, -5.69614029, -19.98137283, -50.08925629, -0.39528263, -0.01344235, 13.97985554, 0.99256170, 0.00340957, 0.00053622, -0.12169369, -0.00197853, 0.00148538, -0.00003774, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, 0.00032682, 0.00764188, -1.00362551, -0.05903715, 0.04259464, -0.01013635, -5.27617407, -20.00503540, -50.16186523, -0.39606071, -0.01287452, 13.97974873, 0.99256176, 0.00341691, 0.00053212, -0.12169278, -0.00055160, -0.00073347, 0.00364943, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, 0.00103163, 0.00855295, -1.00288963, 0.01219302, -0.06058730, -0.04671951, -5.38116598, -19.72110176, -50.54911423, -0.39679840, -0.01267951, 13.97928905, 0.99256223, 0.00342351, 0.00053120, -0.12168879, -0.00125637, -0.00163118, 0.00291356, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, 0.00086904, 0.00630683, -1.00108182, 0.02877788, 0.02646728, -0.02697388, -5.38116598, -19.72110176, -50.54911423, -0.39568746, -0.01145212, 13.97903919, 0.99256253, 0.00341519, 0.00051939, -0.12168668, -0.00107705, 0.00060861, 0.00110574, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, -0.00094518, 0.00729225, -1.00261295, -0.02455480, 0.04310540, -0.04335035, -5.85362673, -19.93405342, -50.21027374, -0.39583087, -0.01144380, 13.97859955, 0.99256301, 0.00341645, 0.00051945, -0.12168287, 0.00074595, -0.00038943, 0.00263678, 0.00000000, 0.00000000, 0.00000000, 0.00000000
