SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.00530011, 0.01157452, -0.99816406, 0.06123013, -0.00893098, 0.00558858, -17.45103836, 5.70008755, -71.41186523, -0.66979980, 0.20050304, 87.53657532, 0.72212285, 0.00543131, 0.00277976, -0.69173789, -0.00180693, 0.00012474, -0.00176132, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.00454358, 0.01089554, -0.99764681, 0.04329902, 0.00853343, -0.01168353, -17.07103157, 4.76468849, -71.90879822, -0.66852212, 0.20144650, 87.53646088, 0.72212362, 0.00542895, 0.00276609, -0.69173723, -0.00103111, 0.00078087, -0.00227882, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.00301641, 0.01131915, -0.99778318, -0.01038067, 0.07824284, -0.04568665, -17.04179955, 4.41391420, -71.82110596, -0.66791707, 0.20125428, 87.53598785, 0.72212648, 0.00542399, 0.00276363, -0.69173425, 0.00050054, 0.00034540, -0.00214267, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.00207602, 0.01188805, -0.99694663, -0.00949102, -0.00918795, 0.00614338, -17.27565002, 4.85238218, -71.73341370, -0.66810650, 0.20048130, 87.53605652, 0.72212613, 0.00542052, 0.00276965, -0.69173467, 0.00143037, -0.00022834, -0.00297929, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.00182656, 0.01149827, -0.99777216, -0.00949102, -0.00918795, 0.00614338, -17.24641991, 4.64776373, -71.82110596, -0.66772062, 0.19832574, 87.53612518, 0.72212577, 0.00540507, 0.00278091, -0.69173503, 0.00165652, 0.00016266, -0.00215383, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.00060807, 0.01243570, -0.99726510, -0.04487514, 0.04284456, 0.02463640, -17.24641991, 4.64776373, -71.82110596, -0.66861051, 0.19698791, 87.53636932, 0.72212434, 0.00540260, 0.00279472, -0.69173658, 0.00283814, -0.00077291, -0.00266093, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, 0.00236961, 0.01172015, -0.99844497, -0.02742213, 0.00827646, -0.01112873, -17.50950050, 4.94007587, -71.96726227, -0.66890901, 0.19504714, 87.53627014, 0.72212505, 0.00539277, 0.00280875, -0.69173586, 0.00104204, -0.00004740, -0.00148112, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, 0.00221560, 0.01220828, -0.99846923, 0.06157104, 0.04301754, 0.05902821, -17.62642479, 4.58930111, -71.44110107, -0.66906863, 0.19417223, 87.53686523, 0.72212148, 0.00538848, 0.00281525, -0.69173962, 0.00118171, -0.00053154, -0.00145690, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2100, 8, 0.00456271, 0.01145692, -0.99889153, 0.04341265, 0.02584960, 0.00612968, -16.77871895, 3.53697753, -71.87957001, -0.66758722, 0.20231996, 87.53697205, 0.72212052, 0.00542832, 0.00275497, -0.69174051, -0.00106548, 0.00021234, -0.00103427, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2200, 9, 0.00521136, 0.01163178, -0.99779683, 0.00823431, 0.02561487, 0.02401909, -16.77871895, 3.53697753, -71.87957001, -0.66695023, 0.20428340, 87.53720093, 0.72211903, 0.00543616, 0.00273876, -0.69174200, -0.00165348, 0.00001067, -0.00212912, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2300, 10, 0.00506275, 0.01144408, -0.99737066, -0.00960465, -0.02650412, -0.01166983, -17.07103157, 5.20315695, -71.52879333, -0.66688669, 0.20490566, 87.53707886, 0.72211975, 0.00543951, 0.00273445, -0.69174129, -0.00148959, 0.00019099, -0.00255527, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2400, 11, 0.00484927, 0.01180846, -0.99724329, 0.04336761, -0.00888898, -0.01188473, -17.50950050, 5.20315695, -71.93802643, -0.66646975, 0.20552136, 87.53696442, 0.72212046, 0.00544061, 0.00272805, -0.69174057, -0.00126537, -0.00017483, -0.00268266, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2500, 12, 0.00383490, 0.01154080, -0.99833608, 0.02543651, 0.00857543, -0.02915684, -17.59719276, 4.64776373, -71.09032440, -0.66615587, 0.20584565, 87.53666687, 0.72212225, 0.00544059, 0.00272410, -0.69173872, -0.00024672, 0.00008212, -0.00158992, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2600, 13, 0.00469840, 0.01201899, -0.99696547, -0.08021217, -0.00944493, 0.00669819, -17.24641991, 5.32008171, -72.14264679, -0.66710877, 0.20650615, 87.53672791, 0.72212178, 0.00545058, 0.00272569, -0.69173908, -0.00109561, -0.00038364, -0.00296040, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2700, 14, 0.00420135, 0.01236294, -0.99799496, 0.04348125, 0.00842719, 0.00592848, -17.15872574, 4.53083897, -71.82110596, -0.66737270, 0.20737398, 87.53678894, 0.72212136, 0.00545748, 0.00272182, -0.69173944, -0.00059725, -0.00071835, -0.00193073, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2800, 15, 0.00417173, 0.01120561, -0.99828118, -0.06255542, 0.04278031, 0.02477510, -17.15872574, 4.53083897, -71.82110596, -0.66702306, 0.20843661, 87.53703308, 0.72211993, 0.00546169, 0.00271302, -0.69174111, -0.00053849, 0.00043160, -0.00164455, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2900, 16, 0.00216380, 0.01183196, -0.99743581, -0.04496523, -0.02663261, -0.01139243, -17.74334908, 5.40777540, -71.73341370, -0.66750759, 0.20601383, 87.53692627, 0.72212058, 0.00545012, 0.00273121, -0.69174033, 0.00144019, -0.00018589, -0.00248986, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3000, 17, 0.00252499, 0.01080443, -0.99839467, -0.06296492, 0.00825421, -0.02846334, -17.42180634, 4.56007004, -72.14264679, -0.66716450, 0.20536803, 87.53663635, 0.72212243, 0.00544407, 0.00273319, -0.69173855, 0.00106453, 0.00084238, -0.00153105, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3100, 18, 0.00258558, 0.01095724, -0.99839360, -0.02767295, 0.02580511, -0.02853954, -17.48026848, 5.34931278, -71.87957001, -0.66632450, 0.20436606, 87.53635406, 0.72212416, 0.00543273, 0.00273442, -0.69173670, 0.00098853, 0.00067836, -0.00153239, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3200, 19, 0.00399504, 0.01037597, -0.99777001, -0.04832559, 0.00473865, 0.00749822, -17.39257431, 4.85238218, -72.61034393, -0.66592741, 0.20445016, 87.53643799, 0.72212374, 0.00543073, 0.00273150, -0.69173723, -0.00043082, 0.00124776, -0.00215614, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5500, 20, -0.01213289, 0.00990299, -1.02418327, -0.55976200, 0.01850084, 0.18803298, -17.18795586, 3.94621444, -71.29494476, -0.71397448, 0.16278975, 87.54351807, 0.72208065, 0.00548183, 0.00328441, -0.69177943, 0.01501085, 0.00254512, 0.02426493, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5600, 21, -0.00345668, 0.00891481, -0.98796862, 0.05900087, 0.12507135, 0.21960966, -17.18795586, 3.94621444, -71.29494476, -0.71299058, 0.16378731, 87.54569244, 0.72206748, 0.00548159, 0.00327229, -0.69179314, 0.00630226, 0.00353426, -0.01194981, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5700, 22, 0.00637418, 0.00844249, -1.00226092, -0.01253927, 0.05576218, 0.11368759, -16.95410728, 4.64776373, -71.67494965, -0.71026891, 0.16674925, 87.54679871, 0.72206080, 0.00548229, 0.00323725, -0.69180030, -0.00347810, 0.00396010, 0.00234209, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5800, 23, 0.01083540, 0.01096618, -0.99647462, 0.05638313, 0.00492056, -0.08120295, -16.86641312, 5.26161957, -71.49955750, -0.70910901, 0.17038985, 87.54598999, 0.72206557, 0.00549698, 0.00320727, -0.69179541, -0.00789486, 0.00141882, -0.00344430, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5900, 24, 0.01446257, 0.01189351, -0.99643201, 0.01960977, 0.04038060, -0.20380720, -17.56796265, 4.67699480, -71.61648560, -0.70855874, 0.17643601, 87.54396820, 0.72207755, 0.00553007, 0.00316575, -0.69178283, -0.01141259, 0.00046930, -0.00348699, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6000, 25, 0.01495619, 0.01490672, -0.99853933, 0.00272700, 0.02246897, -0.13342169, -17.12949371, 5.37854433, -71.67494965, -0.70994657, 0.18274288, 87.54264832, 0.72208512, 0.00557693, 0.00313432, -0.69177461, -0.01181091, -0.00252766, -0.00137910, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6100, 26, 0.01344285, 0.01547834, -1.00459075, 0.03945531, -0.04772964, -0.02883181, -17.12949371, 5.37854433, -71.67494965, -0.71198684, 0.18867201, 87.54236603, 0.72208643, 0.00562558, 0.00310926, -0.69177300, -0.01022119, -0.00308217, 0.00467280, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6200, 27, 0.00889518, 0.01709172, -0.99288905, -0.03065055, -0.06572775, 0.02435783, -17.39257431, 4.82315111, -71.47032928, -0.71287537, 0.18877254, 87.54260254, 0.72208494, 0.00563178, 0.00311401, -0.69177449, -0.00559904, -0.00465554, -0.00702819, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6300, 28, 0.00830720, 0.01525026, -0.99845409, 0.02329940, 0.07299433, 0.16644743, -17.30488205, 4.76468849, -71.52879333, -0.71556932, 0.19489525, 87.54425049, 0.72207457, 0.00568568, 0.00309177, -0.69178498, -0.00496214, -0.00278845, -0.00146270, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6400, 29, 0.00548648, 0.01202746, -0.99758136, -0.01244713, -0.01382124, 0.09527078, -17.04179955, 5.43700647, -70.82723999, -0.71550697, 0.19643678, 87.54521942, 0.72206867, 0.00569456, 0.00308173, -0.69179112, -0.00206671, 0.00045989, -0.00233485, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6500, 30, 0.00059637, 0.01138482, -0.99910575, 0.02124983, 0.03942442, -0.04529912, -17.21718788, 5.52470016, -71.61648560, -0.71215099, 0.19120383, 87.54480743, 0.72207159, 0.00564184, 0.00309442, -0.69178843, 0.00279524, 0.00105681, -0.00081117, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.6600, 31, -0.00607425, 0.01120040, -0.99808037, 0.00366169, -0.03022323, -0.06357723, -17.53873062, 5.11546326, -71.76264191, -0.71078116, 0.18137759, 87.54412842, 0.72207618, 0.00557390, 0.00314804, -0.69178391, 0.00929786, 0.00121598, -0.00183736, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.9000, 32, 0.00159890, 0.01440497, -0.99856371, -0.03117575, 0.02149055, 0.00775182, -17.12949371, 5.02776957, -71.90879822, -0.72596949, 0.17134497, 87.54132080, 0.72209287, 0.00560913, 0.00330281, -0.69176549, 0.00141007, -0.00175286, -0.00135174, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.9100, 33, 0.00078428, 0.01390485, -0.99761719, 0.00473152, 0.02130031, 0.06031046, -17.36334419, 5.46623802, -71.70417786, -0.72687179, 0.16980875, 87.54188538, 0.72208947, 0.00560552, 0.00331796, -0.69176900, 0.00219331, -0.00122406, -0.00229798, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.9200, 34, -0.00088901, 0.01209926, -0.99771458, 0.00436706, 0.02151280, 0.02508643, -16.74948883, 5.14469433, -70.76878357, -0.72609389, 0.16586310, 87.54204559, 0.72208875, 0.00557680, 0.00333814, -0.69176990, 0.00381422, 0.00058338, -0.00220084, 0.00000000, 0.00000000, 0.00000000, 0.00000000
