SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.00451989, 0.01557904, -0.99903148, 0.00383147, -0.04591117, 0.01482073, -14.55714703, 3.39082146, -70.91493988, -0.90082371, 0.25614315, 82.83605957, 0.74986643, 0.00737373, 0.00352429, -0.66153878, -0.00004730, 0.00013932, -0.00083497, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.00394369, 0.01581662, -0.99853665, 0.03884908, 0.04132937, 0.01554933, -15.28792763, 3.09850907, -70.03800201, -0.90089327, 0.25599611, 82.83621979, 0.74986547, 0.00737333, 0.00352566, -0.66153979, 0.00052653, -0.00009689, -0.00132985, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.00339878, 0.01611419, -0.99791944, -0.03173488, 0.00622758, 0.01570173, -15.17100239, 3.21543407, -70.41800690, -0.90162468, 0.25513658, 82.83633423, 0.74986488, 0.00737315, 0.00353552, -0.66154051, 0.00105660, -0.00038454, -0.00194694, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.00345171, 0.01597193, -0.99898869, 0.05709960, -0.01108610, 0.05003105, -15.17100239, 3.21543407, -70.41800690, -0.90175551, 0.25288501, 82.83667755, 0.74986297, 0.00736100, 0.00355103, -0.66154265, 0.00097182, -0.00022548, -0.00087759, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.00391423, 0.01487207, -0.99872923, -0.01391740, -0.02855300, 0.01516063, -15.20023346, 3.68313360, -70.03800201, -0.90014368, 0.25247961, 82.83649445, 0.74986416, 0.00734812, 0.00354436, -0.66154146, 0.00048725, 0.00085029, -0.00113760, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.00380168, 0.01486036, -0.99753904, 0.02144317, -0.02842451, 0.01488323, -15.60947037, 3.56620860, -70.65185547, -0.89941692, 0.25176060, 82.83650208, 0.74986422, 0.00733921, 0.00354487, -0.66154152, 0.00059641, 0.00084098, -0.00232805, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, 0.00328291, 0.01461559, -0.99765956, -0.01391740, -0.02855300, 0.01516063, -15.31715870, 3.15697169, -71.09032440, -0.89853793, 0.25069878, 82.83638000, 0.74986506, 0.00732733, 0.00354674, -0.66154069, 0.00110037, 0.00106883, -0.00220780, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, 0.00300087, 0.01501928, -0.99847662, 0.00326124, 0.00656855, -0.01979970, -15.05407715, 3.33235884, -70.68108368, -0.89682591, 0.24876574, 82.83563995, 0.74986959, 0.00730499, 0.00354946, -0.66153586, 0.00135516, 0.00065260, -0.00139108, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, 0.00293955, 0.01459350, -0.99866354, -0.03114315, 0.04064744, 0.08655218, -15.05407715, 3.33235884, -70.68108368, -0.89503872, 0.24642499, 82.83580780, 0.74986887, 0.00727978, 0.00355447, -0.66153687, 0.00137065, 0.00103014, -0.00120512, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3900, 9, 0.00421767, 0.01627451, -0.99844247, -0.03159769, -0.02861724, 0.01529933, -15.17100239, 2.01695418, -70.33031464, -0.91323084, 0.22962523, 82.83450317, 0.74987620, 0.00730189, 0.00376935, -0.66152716, -0.00021200, -0.00033616, -0.00142246, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4000, 10, 0.00394119, 0.01685408, -0.99849540, 0.00408230, -0.06343982, 0.03223154, -15.08330917, 2.74773455, -70.71031952, -0.91473258, 0.22914390, 82.83507538, 0.74987280, 0.00730892, 0.00378120, -0.66153079, 0.00006149, -0.00089741, -0.00136933, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4100, 11, 0.00430642, 0.01685619, -0.99858963, 0.00369429, -0.01106635, 0.01522313, -15.31715870, 3.09850907, -70.47647095, -0.91609824, 0.22968993, 82.83548737, 0.74987030, 0.00732099, 0.00378554, -0.66153347, -0.00029933, -0.00087429, -0.00127460, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4200, 12, 0.00424817, 0.01663972, -0.99831694, -0.01423682, 0.00639806, -0.00204898, -15.31715870, 3.09850907, -70.47647095, -0.91733164, 0.23013477, 82.83565521, 0.74986923, 0.00733163, 0.00378976, -0.66153455, -0.00023418, -0.00063764, -0.00154696, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4300, 13, 0.00432190, 0.01510338, -0.99723554, -0.03271462, 0.02418120, -0.07215713, -15.40485191, 3.36159015, -70.41800690, -0.91734499, 0.23050436, 82.83488464, 0.74987370, 0.00733387, 0.00378737, -0.66152954, -0.00030092, 0.00090594, -0.00262822, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.4400, 14, 0.00351730, 0.01633174, -0.99828398, -0.03177992, -0.02851100, -0.00231268, -15.63870239, 2.77696586, -69.89184570, -0.91802478, 0.22949231, 82.83483124, 0.74987400, 0.00733248, 0.00379792, -0.66152918, 0.00049693, -0.00031832, -0.00157969, 0.00000000, 0.00000000, 0.00000000, 0.00000000
