SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.00538484, 0.01496017, -0.99785519, -0.02789276, -0.04669734, 0.00828582, -14.96638393, 5.49546909, -69.97953796, -0.89535457, 0.27523524, 83.24015808, 0.74752808, 0.00743623, 0.00339402, -0.66417986, -0.00058185, 0.00066831, -0.00201119, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.00653961, 0.01615560, -0.99797368, -0.06300206, 0.00581855, -0.04314572, -16.34025192, 3.30312777, -69.83338165, -0.89645135, 0.27694881, 83.23968506, 0.74753064, 0.00745333, 0.00338917, -0.66417688, -0.00171528, -0.00051885, -0.00189248, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.00638713, 0.01706785, -0.99765801, -0.06140893, -0.01151550, 0.00956549, -14.87869072, 6.60625553, -69.42414093, -0.89828503, 0.27823922, 83.23975372, 0.74753004, 0.00747277, 0.00339138, -0.66417730, -0.00153946, -0.00140213, -0.00220746, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.00525626, 0.01718874, -0.99792260, -0.00767535, -0.01101187, 0.00922619, -15.69716454, 3.71236467, -69.51184082, -0.89994454, 0.27846321, 83.23983765, 0.74752951, 0.00748489, 0.00339954, -0.66417778, -0.00039778, -0.00149290, -0.00194247, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.00446157, 0.01657968, -0.99834973, 0.02757274, -0.07962307, -0.02681809, -16.07716942, 4.38468266, -69.80415344, -0.90133280, 0.27740696, 83.23956299, 0.74753100, 0.00748783, 0.00341446, -0.66417593, 0.00038994, -0.00084828, -0.00151478, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.00473991, 0.01602831, -0.99805260, -0.13065800, 0.02479299, -0.02403167, -16.07716942, 4.38468266, -69.80415344, -0.90296370, 0.27771038, 83.23930359, 0.74753237, 0.00750024, 0.00342192, -0.66417420, 0.00010563, -0.00027650, -0.00181162, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2800, 6, 0.00529788, 0.01626275, -0.99683458, 0.01371597, 0.04118893, -0.04011430, -14.55714703, 5.64162540, -69.59953308, -0.89469022, 0.27659833, 83.23822021, 0.74753928, 0.00743986, 0.00338115, -0.66416728, -0.00047466, -0.00064974, -0.00303185, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2900, 7, 0.00471433, 0.01653955, -0.99725419, -0.00349333, -0.01166650, 0.01227111, -16.42794418, 3.30312777, -69.71645355, -0.89534867, 0.27638459, 83.23834991, 0.74753851, 0.00744291, 0.00338637, -0.66416812, 0.00010997, -0.00091858, -0.00261214, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3000, 8, 0.00571459, 0.01575923, -0.99830687, -0.02057355, -0.01143101, 0.02960267, -15.14177132, 6.63548660, -69.54106903, -0.89609402, 0.27695927, 83.23863983, 0.74753678, 0.00745109, 0.00338696, -0.66417009, -0.00089507, -0.00011695, -0.00155918, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.3100, 9, 0.00538340, 0.01605723, -0.99766076, -0.00301665, 0.05759384, 0.02993376, -15.72639561, 3.94621444, -70.21338654, -0.89645380, 0.27824849, 83.23892975, 0.74753499, 0.00746090, 0.00338065, -0.66417193, -0.00053678, -0.00041512, -0.00220516, 0.00000000, 0.00000000, 0.00000000, 0.00000000
