SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.00428503, 0.01459368, -0.99821645, -0.00889266, -0.00660397, -0.02842380, -15.78485775, 4.88161373, -70.38877106, -0.80422705, 0.33465460, 83.45217133, 0.74630022, 0.00718156, 0.00249150, -0.66556615, 0.00157464, -0.00056546, -0.00166799, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.00546996, 0.01472471, -0.99874270, 0.04422805, -0.02341517, 0.02375832, -16.31101990, 4.79392004, -69.97953796, -0.80513597, 0.33305305, 83.45240784, 0.74629891, 0.00717817, 0.00250722, -0.66556764, 0.00034387, -0.00067507, -0.00114176, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.00581204, 0.01459622, -0.99795377, 0.00858400, -0.04092771, 0.02309228, -16.16486359, 5.29085064, -70.65185547, -0.80551636, 0.33271715, 83.45264435, 0.74629748, 0.00717869, 0.00251163, -0.66556913, 0.00000009, -0.00054018, -0.00193058, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.00636122, 0.01423268, -0.99805319, -0.00996906, 0.04655113, -0.02827872, -16.39871407, 4.64776373, -70.33031464, -0.80625165, 0.33418187, 83.45235443, 0.74629909, 0.00719199, 0.00250635, -0.66556722, -0.00053585, -0.00016139, -0.00183086, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1100, 4, 0.00541308, 0.01362426, -0.99860120, 0.05871218, 0.02615796, 0.04270364, -16.60333252, 5.14469433, -70.38877106, -0.80343890, 0.33855975, 83.45188141, 0.74630165, 0.00719911, 0.00246147, -0.66556430, 0.00049624, 0.00040119, -0.00128305, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1200, 5, 0.00534282, 0.01512602, -0.99925596, 0.02206814, 0.00849103, -0.01011747, -16.63256264, 4.70622635, -70.50569916, -0.80651563, 0.33656007, 83.45171356, 0.74630260, 0.00720754, 0.00249235, -0.66556311, 0.00055249, -0.00106144, -0.00062767, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1300, 6, 0.00507826, 0.01374406, -0.99847531, -0.01215989, -0.00927974, 0.04220289, -16.74948883, 4.64776373, -71.00263214, -0.80642605, 0.33493057, 83.45212555, 0.74630028, 0.00719748, 0.00250247, -0.66556573, 0.00077487, 0.00033602, -0.00140841, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1400, 7, 0.00562389, 0.01399328, -0.99881244, -0.01305251, 0.00839784, -0.02774519, -16.31101990, 4.76468849, -70.35954285, -0.80623776, 0.33427003, 83.45183563, 0.74630207, 0.00719242, 0.00250566, -0.66556388, 0.00021701, 0.00008083, -0.00107145, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1500, 8, 0.00568658, 0.01426528, -0.99850512, 0.00536357, -0.04333508, 0.02412421, -16.31101990, 4.76468849, -70.35954285, -0.80664527, 0.33383685, 83.45207977, 0.74630064, 0.00719256, 0.00251086, -0.66556543, 0.00014186, -0.00019025, -0.00137886, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1600, 9, 0.00565512, 0.01390123, -0.99875265, -0.01296015, -0.04239677, -0.02826583, -16.36948204, 4.70622635, -69.62876129, -0.80640596, 0.33301955, 83.45179749, 0.74630237, 0.00718626, 0.00251478, -0.66556358, 0.00015983, 0.00016888, -0.00113149, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1700, 10, 0.00595992, 0.01451096, -0.99856567, 0.05743885, -0.00697304, -0.02812122, -16.83718109, 4.50160789, -69.71645355, -0.80727440, 0.33312783, 83.45151520, 0.74630392, 0.00719255, 0.00251910, -0.66556168, -0.00014721, -0.00041569, -0.00131811, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1800, 11, 0.00620301, 0.01420860, -0.99878418, 0.00469164, -0.00765700, 0.07729528, -16.39871407, 3.88775206, -70.06723022, -0.80704510, 0.33373263, 83.45229340, 0.74629939, 0.00719455, 0.00251388, -0.66556680, -0.00037892, -0.00012303, -0.00109969, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1900, 12, 0.00550683, 0.01477803, -0.99791896, -0.04860813, 0.00986698, 0.02423727, -16.39871407, 4.70622635, -70.53492737, -0.80805510, 0.33351591, 83.45252228, 0.74629796, 0.00719986, 0.00252117, -0.66556823, 0.00031548, -0.00068364, -0.00196478, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2000, 13, 0.00565810, 0.01414106, -0.99829274, 0.03927254, -0.04116490, -0.04709630, -16.19409561, 4.70622635, -70.50569916, -0.80752110, 0.33322847, 83.45207214, 0.74630064, 0.00719473, 0.00251991, -0.66556531, 0.00016272, -0.00004656, -0.00159109, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.2100, 14, 0.00531756, 0.01451112, -0.99880475, -0.04820336, -0.02381768, 0.00703007, -16.19409561, 4.70622635, -70.50569916, -0.80854857, 0.33201599, 83.45212555, 0.74630034, 0.00719438, 0.00253378, -0.66556561, 0.00048374, -0.00040905, -0.00107902, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5200, 15, 0.00453335, 0.01440673, -0.99773240, 0.01535905, -0.04299293, 0.01053651, -16.10640144, 4.96930695, -69.97953796, -0.80990601, 0.32642457, 83.44980621, 0.74631411, 0.00717079, 0.00257794, -0.66555029, 0.00117361, -0.00027406, -0.00215152, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5300, 16, 0.00482631, 0.01457429, -0.99919671, -0.00263102, 0.02629109, -0.00566126, -16.16486359, 4.99853849, -70.44723511, -0.81056553, 0.32452032, 83.44975281, 0.74631447, 0.00716403, 0.00259416, -0.66554987, 0.00086675, -0.00043067, -0.00068708, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5400, 17, 0.00592459, 0.01406028, -0.99933255, 0.01502713, -0.02492561, -0.04114953, -16.16486359, 4.99853849, -70.44723511, -0.81045657, 0.32474574, 83.44933319, 0.74631685, 0.00716464, 0.00259204, -0.66554719, -0.00026437, 0.00008685, -0.00055140, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5500, 18, 0.00671387, 0.01461496, -0.99960732, -0.00175727, -0.07676732, 0.04630308, -16.31101990, 5.05700064, -70.35954285, -0.81192029, 0.32542562, 83.44982147, 0.74631393, 0.00717811, 0.00259614, -0.66555041, -0.00103531, -0.00044536, -0.00027615, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5600, 19, 0.00576153, 0.01437047, -0.99670529, -0.00220246, -0.02319908, 0.01084763, -16.22332573, 5.23238802, -69.57029724, -0.81197810, 0.32538509, 83.44992828, 0.74631327, 0.00717825, 0.00259675, -0.66555107, -0.00008380, -0.00019812, -0.00317822, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5700, 20, 0.00553676, 0.01398775, -0.99826288, 0.05018708, -0.02256924, 0.02800960, -16.16486359, 5.43700647, -70.00876617, -0.81154871, 0.32519585, 83.45021820, 0.74631160, 0.00717435, 0.00259550, -0.66555297, 0.00013709, 0.00017856, -0.00162067, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.5800, 21, 0.00504252, 0.01399364, -0.99905193, 0.01444401, -0.02241902, 0.02763658, -16.74948883, 4.91084480, -70.30107880, -0.81102425, 0.32383657, 83.45048523, 0.74631017, 0.00716303, 0.00260133, -0.66555464, 0.00061254, 0.00016276, -0.00083189, 0.00000000, 0.00000000, 0.00000000, 0.00000000
