SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, 0.0000, 0, 0.09842779, -0.08323714, -0.97872901, -4.56700897, -1.21107364, -0.80014580, 17.09968758, 22.19643784, -33.39141464, 3.51468158, 5.23222637, 30.28574181, 0.96418357, -0.01765309, -0.05204089, -0.25948063, -0.00717936, 0.02188691, -0.01520756, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0100, 1, 0.09916527, -0.06933683, -0.97325361, -5.76174831, -1.46318066, -0.15949842, 16.92505074, 22.05207062, -33.56974411, 3.45890045, 5.21989012, 30.28359795, 0.96420079, -0.01721293, -0.05181053, -0.25949231, -0.00810555, 0.00889003, -0.02075557, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0200, 2, 0.09545635, -0.04872236, -0.97237098, -4.98297119, -1.58252335, -0.13178566, 17.71091080, 21.79221153, -33.21308899, 3.40711951, 5.20533609, 30.28144836, 0.96421790, -0.01681149, -0.05157058, -0.25950274, -0.00463708, -0.01078905, -0.02171664, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0300, 3, 0.09317092, -0.03982306, -0.98449057, -2.84445572, -1.41784203, -0.16436969, 16.98326492, 21.73446655, -33.21308899, 3.37198663, 5.19209242, 30.27998161, 0.96423048, -0.01654682, -0.05137945, -0.25951084, -0.00259061, -0.01895701, -0.00966242, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0400, 4, 0.08955511, -0.04762774, -0.99317437, -0.70259160, -1.27249539, 0.11986126, 16.98326492, 21.73446655, -33.21308899, 3.35664630, 5.17770195, 30.28306770, 0.96423024, -0.01644927, -0.05122415, -0.25954872, 0.00079046, -0.01075866, -0.00102316, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0500, 5, 0.08048259, -0.05193032, -0.99647331, -0.51011515, -1.13155973, -0.02095095, 17.21611023, 21.64784431, -32.73755646, 3.34411073, 5.15487862, 30.28639412, 0.96423167, -0.01639451, -0.05100432, -0.25959027, 0.00950800, -0.00626078, 0.00223207, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 6, 0.07743347, -0.05841570, -1.00246394, -0.18957986, -0.41905898, 0.47793800, 17.36164093, 22.34080505, -33.83723068, 3.34082842, 5.13472366, 30.29759979, 0.96421301, -0.01640803, -0.05082902, -0.25969300, 0.01219738, 0.00038806, 0.00818072, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 7, 0.07364556, -0.06083073, -1.00020301, 0.48906472, -0.80299193, 0.97898936, 17.04147530, 21.93657875, -33.83723068, 3.34714913, 5.11386538, 30.30999184, 0.96419048, -0.01650346, -0.05066973, -0.25980175, 0.01561611, 0.00272561, 0.00589111, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 8, 0.07398567, -0.05371555, -0.99717367, -0.23257460, -0.47725603, 1.42879915, 16.72130966, 22.10981941, -33.62918854, 3.34203768, 5.09649754, 30.32578087, 0.96416074, -0.01649325, -0.05051439, -0.25994286, 0.01495174, -0.00441114, 0.00283395, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0900, 9, 0.07930428, -0.05324966, -0.99937505, -2.79716134, 0.26142386, 1.65129435, 16.72130966, 22.10981941, -33.62918854, 3.31369352, 5.09432077, 30.34278107, 0.96412694, -0.01625227, -0.05043420, -0.26009914, 0.00948643, -0.00455116, 0.00500327, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.1000, 10, 0.07931345, -0.04516121, -0.99929130, -4.97691584, 0.20433576, 1.15700293, 17.30342865, 22.10981941, -33.00503922, 3.26159501, 5.09264946, 30.35456657, 0.96410793, -0.01581259, -0.05030351, -0.26022178, 0.00947066, -0.01186547, 0.00487429, 0.00000000, 0.00000000, 0.00000000, 0.00000000
