TimeStamp (s),GlbAccX (m/s^2),GlbAccY (m/s^2),GlbAccZ (m/s^2),GlbVelX (m/s),GlbVelY (m/s),GlbVelZ (m/s),GlbPosX (m),GlbPosY (m),GlbPosZ (m)
0.0,-0.0006044469735813362,0.0002836910376646432,0.0013344778764709949,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-0.0033495439821394205,0.0009525780477412471,-0.007867842316629516,-1.9769954778603784e-05,6.181345427029451e-06,-3.2666822200792606e-05,-9.884977389301892e-08,3.090672713514725e-08,-1.6333411100396303e-07
0.02,-0.00036623789498349795,0.0037313170481275285,0.0011706324081001565,-3.834886416421838e-05,2.960082090637333e-05,-6.615287174343941e-05,-3.894438686071298e-07,2.0981755880216113e-07,-6.574325807251231e-07
0.03,-0.00016280973165241734,0.001441442188536226,0.012483083336149703,-4.099410229739796e-05,5.54646170896921e-05,2.1157069778098746e-06,-7.861587009152115e-07,6.351447487824882e-07,-9.776184045532707e-07
0.04,0.004803915356913151,0.00806395769551893,0.0075724328341778635,-1.7788574171094286e-05,0.00010299161650996789,0.00010239328782944773,-1.0800720832576728e-06,1.4274259167807883e-06,-4.550734305169826e-07
0.05,0.005920425389702481,-0.00571100549525487,0.002459897281920533,3.5833129561983884e-05,0.00011475637751128819,0.0001525549384099397,-9.898493063032248e-07,2.5161658868870687e-06,8.196677006799547e-07
0.06,0.00544542348559069,-0.008641497209321874,-0.024172114417926518,9.26623739384497e-05,4.29938639884045e-05,4.399385272990985e-05,-3.4737178880105726e-07,3.304917094385532e-06,1.802411656379202e-06
0.07,0.009736861809528841,-0.010758824328335373,-0.028110278601935743,0.00016857380041404742,-5.4007743699881815e-05,-0.0002174181123694017,9.588090829614296e-07,3.2498476958281455e-06,9.35290358181742e-07
0.08,-0.0032020500971694514,-0.002497926004111167,0.0017594573658798116,0.00020124785897584436,-0.00012029149536211448,-0.0003491722185496813,2.8079173799108877e-06,2.3783515005181646e-06,-1.8976612964136717e-06
0.09,-0.0041940021142942195,-0.008935157993746005,-0.0004669837858611108,0.00016426759791852603,-0.0001774569153514003,-0.0003427098506495878,4.635494664382739e-06,8.896094469505915e-07,-5.357071642410016e-06
0.1,-0.006904810292489247,0.006236886369364443,0.01876669625050785,0.00010877353588460864,-0.00019094827347330813,-0.000251211288326354,6.000700333398413e-06,-9.524164971729521e-07,-8.326677337289727e-06
0.11,0.0004007100514563758,-0.0009063111396961388,0.015282090525975655,7.62530346794443e-05,-0.00016429539732496661,-8.096735444393653e-05,6.925833186218677e-06,-2.728634851164325e-06,-9.98757055114118e-06
0.12,-0.00224926310449485,0.0006807308773561746,-0.004950628735450165,6.701026941425193e-05,-0.00016542329863666644,-2.9310045491309107e-05,7.642149706687159e-06,-4.37722833097249e-06,-1.0538957550817407e-05
0.13,-0.0004903343836477114,-0.0038550186926731966,-0.0268546010167368,5.3312281973539116e-05,-0.00018129473771325157,-0.00018833619425224409,8.243762463626115e-06,-6.1108185127220814e-06,-1.1627188749535174e-05
0.14,0.003953140105276484,0.0014727015816854917,-0.020449765148697143,7.0626310581683e-05,-0.0001932063232681901,-0.000424858025079414,8.863455426402226e-06,-7.983323817629291e-06,-1.4693159846193468e-05
0.15,-0.0025635404589140535,0.0043359174338319355,-0.0029918337109321592,7.757430881349513e-05,-0.00016416322819060302,-0.0005420660193775602,9.604458523378115e-06,-9.770171574923253e-06,-1.952778006847833e-05
0.16,0.00212646051773529,0.0007688490496285217,0.016634328214428215,7.538890910760131e-05,-0.00013863939577330071,-0.0004738535468600799,1.0369274612983598e-05,-1.1284184694742773e-05,-2.4607377899666536e-05
0.17,-0.0029216093882705224,-0.0036742180600480394,0.012689302322428282,7.141316475492515e-05,-0.00015316624082539832,-0.0003272353941757973,1.110328498229623e-05,-1.274321287773627e-05,-2.8612822604845924e-05
0.18,0.000569924789617119,0.006979524212218069,-0.006146530821012182,5.9654741761658154e-05,-0.0001366397100645482,-0.00029452153666871685,1.1758624514879145e-05,-1.4192242632185999e-05,-3.172160725906849e-05
