TimeStamp (s),GlbAccX (m/s^2),GlbAccY (m/s^2),GlbAccZ (m/s^2),GlbVelX (m/s),GlbVelY (m/s),GlbVelZ (m/s),GlbPosX (m),GlbPosY (m),GlbPosZ (m)
0.0,-0.0014813453779337921,0.00222195072336769,-0.0026821516633868453,0.0010545757589158283,-0.0005023715310496541,-0.0004318198842182416,0.00015926893899131738,-9.759206722305912e-05,-4.676710606190995e-05
0.01,-0.007872993952671024,-0.0027848474389441406,2.4489575976874636e-05,0.001050108305391559,-0.0005263783494378711,-0.0004590361127746628,0.00017440723503609496,-0.00010496187579569892,-5.234247749315873e-05
0.02,-0.007780479256624093,0.007715860968205078,-0.008363194049216783,0.0010141883523501326,-0.0005229255219067897,-0.0005146789059799428,0.00018938802692348967,-0.00011245640431377176,-5.8347802401783e-05
0.03,-0.014414685008641421,0.001774711175909141,0.019166123513055577,0.0009455967981901055,-0.0004966816107207985,-0.000474632831521428,0.00020389013424168304,-0.00011982412735121646,-6.444663241662443e-05
0.04,-0.029105630004995685,0.0016997435347869908,0.006395904890239928,0.0007704100076349064,-0.0005005217929889324,-0.000360808505259091,0.0002172166482123893,-0.00012710123097770337,-6.979148980396855e-05
0.05,-0.03506344501308389,0.019597506201261872,-0.01896476551924843,0.0004920035782726112,-0.0004152482969503185,-0.0004376538000789669,0.00022831790526920862,-0.00013399228113011969,-7.496668400675492e-05
0.06,-0.016147289010408714,0.0020202962852710884,0.017317840693416367,0.0002784066414431923,-0.0003283691190938239,-0.00045990251757596233,0.00023700125097862837,-0.00014004338775380017,-8.065242758854027e-05
0.07,-0.020565054255296904,-0.008323220797247961,0.010132267346123915,0.0001373130565874689,-0.00038108743878051285,-0.00033667709155027687,0.0002439526314427228,-0.00014594420960519004,-8.584820905544041e-05
0.08,-0.023982191739627012,0.01321351386650518,-0.0077762257960623474,-4.2950047011661207e-05,-0.00037783031015279104,-0.00033893093182386995,0.00024933808338782555,-0.00015211254958988625,-9.045389091672862e-05
0.09,-0.004149539256116205,0.008051237484789368,0.007280081688582258,-0.00014113699607924582,-0.0002926883040993288,-0.00035545254182256915,0.0002533714933381807,-0.000157858791772768,-9.516804005452787e-05
0.1,-0.006541856777484319,-0.0012655431568148238,0.018023602308178323,-0.00015213011642244752,-0.0002799257698203959,-0.00024297975546546882,0.0002568985504504931,-0.00016313508790849428,-9.94168498679692e-05
0.11,-0.007442600133616783,0.02045028103588166,0.0015890966423953027,-0.00017960282127893012,-0.00020514897632978622,-0.00015896453698305626,0.00026027215119688333,-0.0001679929359900494,-0.00010269745760300324
0.12,0.0005142512119807917,0.001536878698785525,0.010140506015816751,-0.00017181570692662907,-0.00011633780413673376,-0.00011436533744567579,0.000263585508133562,-0.0001720517579659136,-0.0001053490474660665
0.13,0.007815334314467095,-0.005464915967662938,0.009742022421520618,-8.776608640837348e-05,-0.0001570771206498081,-2.899993830995641e-05,0.00026739553052833407,-0.00017588879279536199,-0.00010736467974024842
0.14,-0.0012267470679013341,0.01869541985538951,-0.01529836615032901,-1.245507156765694e-05,-0.00011199501019856241,-7.082521870683135e-05,0.00027203912191479154,-0.00017972233753358227,-0.00010917628295776165
0.15,0.003366139348197874,0.008597752542787766,0.0037592042055893888,4.0569904952159606e-05,3.432385901247308e-06,-0.0001425587964984498,0.000277360429631809,-0.0001827712037699088,-0.00011156915311627084
0.16,-0.002404041861290479,0.0012425915073527105,0.010045300127606991,8.766189566009085e-05,3.1630801379773786e-05,-8.756613565743729e-05,0.000283217615788265,-0.00018511944860889276,-0.00011405899663953807
0.17,-0.02074262282674104,0.013216309290904527,-0.00925011299063879,1.4157118015950304e-05,8.296037491011064e-05,-9.761003944713169e-05,0.00028897727566195945,-0.00018708719334438543,-0.00011633715634300256
0.18,-0.013268912543153233,0.0104149220552263,-0.003955481259199883,-0.0001137314115550903,0.00018019318291552164,-0.00017764571478678666,0.00029376373767301805,-0.00018832889182274616,-0.00011907856018922452
0.19,-0.014536362635622576,-0.01034263906110214,0.013639385382884716,-0.0002106544732651878,0.00015967603161629295,-0.00014321964953946533,0.0002974591285547536,-0.00018920339718441064,-0.00012206063975373018
0.2,-0.028188396608812775,0.007735338927815026,-0.004191317964878423,-0.0003822472146403137,0.00012580894021435764,-0.00010995640708973424,0.0002998441326985032,-0.0001903658222319168,-0.00012471667705231848
0.21,-0.020395104776202204,0.004070720556288789,-0.002789379853292929,-0.0005832123420901622,0.00016405980693739834,-0.00015881852002869773,0.0003003977326925762,-0.00019152193405438483,-0.00012746288481181215
0.22,-0.021478734671669227,-0.009207846139095746,0.02378893458487562,-0.0007507142391827766,0.00011764908335949877,-6.775879194204345e-05,0.0002991395633172926,-0.00019273405195275223,-0.0001300100477203008
0.23,-0.014668259084305704,0.0137430380741796,-0.0013784989507341795,-0.0008896733771524565,0.00011965744696151712,3.0378023215265986e-05,0.000296378822901386,-0.00019418298363316252,-0.0001316229335853186
0.24,-0.012252102327913818,0.012534991782992558,0.003060144992586341,-0.000982597196931255,0.00023044065295438885,2.4895673419492246e-05,0.00029248755822095277,-0.00019508234878097376,-0.00013278401062950774
0.25,-0.0034841594700690173,-0.007874762776094793,0.013096810985232592,-0.001019704718676029,0.00023319864837406662,9.181675230532203e-05,0.0002879741719458107,-0.00019542798280769102,-0.00013364911080825115
0.26,0.0010466785261201393,0.006717549827932516,-0.0024954959288461835,-0.0009904288731531008,0.00020693635538017078,0.00013098859649602495,0.0002834487953864623,-0.0001959046911134216,-0.00013399471192411698
0.27,0.006080586681554468,0.014255082769910827,-0.003748462309274278,-0.0009134461494382283,0.0002913933250289451,8.596512932810665e-05,0.0002794810013507531,-0.00019610355116643846,-0.00013438028103811845
0.28,0.014887164995774957,0.0006706319432903535,0.01616644769249996,-0.0007673841382506705,0.00034568883867099965,0.00013428451425012092,0.0002766538310504315,-0.00019562134080932942,-0.00013475982039743478
0.29,0.004571430857086245,0.01249957699881638,-0.004991079872755376,-0.0006289973182691631,0.00039128303942077857,0.0001764260172517347,0.0002752734043644821,-0.00019465193540322136,-0.00013469724078605933
0.3,0.001727588587278183,0.0138908512951273,0.0024801434073318915,-0.0005565440326800871,0.0005030576185771354,0.00015017326906149536,0.00027497076629310886,-0.00019290749588493655,-0.00013456513425436705
0.31,0.0013822914167782707,-0.0007374442006155991,0.003029271292347651,-0.0005001783081334015,0.0005487294213051236,0.00016406160307139362,0.0002753348894391171,-0.00019038718536598903,-0.00013450449385011022
0.32,-0.005953077518093845,0.009094800361556661,-0.002903480745561071,-0.0004823639588443971,0.0005705063281978033,0.00015107319001827913,0.00027609164687886716,-0.0001875405382976829,-0.0001344487209884083
0.33,-0.024186147471794858,0.010030167280722275,-0.0075650538676540514,-0.0005925459972010958,0.00064620966104677,8.515656276449148e-05,0.00027640735746448553,-0.00018421693820183614,-0.00013479655952643597
0.34,-0.006961099161747372,-0.010078850175448125,0.018555217700031164,-0.0007079284512252264,0.0006261360990477563,0.0001265788671943701,0.0002756150849904746,-0.00018062517379387682,-0.0001352756709617154
0.35,-0.01933161288725349,0.0006029400429200058,0.004591810690604727,-0.0007992046179987152,0.0005590207266782075,0.00022883295107636043,0.0002738083970105634,-0.00017747887028774043,-0.00013504491293358815
0.36,-0.027552593875370283,0.00955059322573758,-0.008503193722899354,-0.0009936106844248237,0.0005901498429389209,0.00019584444045170685,0.0002705912042882304,-0.00017452154141735173,-0.00013447604690038474
0.37,-0.005051247062372382,-0.0009063521678740437,0.01788960167141971,-0.0011167933486373712,0.0006138326925379094,0.00022939634142505932,0.0002658029940409183,-0.00017129871875812183,-0.0001339122874276297
0.38,-0.016297531765216533,-0.0006284533423885231,-0.0011827319407025725,-0.0011838850886866925,0.0005867234025636487,0.0002996039896282154,0.00026007934873824296,-0.00016810111271126326,-0.00013283735372188405
0.39,-0.008954000301290593,0.016327072673557732,-0.013800478653834904,-0.001270680897694459,0.000645887204199321,0.00021141664309182136,0.00025360120488539787,-0.00016475083269823097,-0.00013185963845479743
0.4,0.0030828815796823273,0.0018286419228669719,0.017453003699818746,-0.0012607708142802292,0.0007174452981209363,0.00021646533656379368,0.0002467525654829731,-0.00016075405192162272,-0.00013130462935307243
0.41,0.0005219490751560626,0.0006445980046066706,-0.0031893616951744856,-0.0012036829832640975,0.0007107026568056248,0.00027462891731742754,0.00024025183453537204,-0.000156439808789527,-0.00013044026133963315
0.42,0.004072447349844521,0.016734864913931714,-0.018770969394216807,-0.0011418550993861941,0.0007786055634715334,0.00015173386095239236,0.00023435757904128083,-0.00015182588163556503,-0.0001299059394185589
0.43,0.006375018561896224,0.003958732240702861,0.010769184231922614,-0.0010509753708103785,0.0008631963412196005,9.869467303982632e-05,0.00022923772895210332,-0.0001464551021004156,-0.00013025736047457114
0.44,0.009394736867128668,0.0032187798662530595,-0.0018447916783403788,-0.000933703372492034,0.0008803266316617522,0.00013035140701824424,0.00022516846805003345,-0.00014058082847633415,-0.00013072144547656987
0.45,0.00398750150475429,0.014394434108205456,-0.01496885101113075,-0.0008285937591128496,0.0009497580777668248,3.3384876048845626e-05,0.00022221990199852465,-0.0001342783492460994,-0.00013151750803413933
0.46,0.013151916487299815,-0.0018550535159176946,0.011818980912299553,-0.0007049286141548141,0.0009939456812587378,4.8059801547710185e-06,0.00022042294608653432,-0.00012741186642248916,-0.00013294640026077567
0.47,-0.006169505215158858,0.0015505817645281505,0.012254164793327629,-0.0006322843796215053,0.0009740419941092389,0.00011241277860194349,0.00021961421658251925,-0.00012042754114500236,-0.00013398492664117717
0.48,-0.011284060148623872,0.014563728273586552,-0.0023608288789144227,-0.0006820613572250383,0.0010363628018088531,0.0001491929684002964,0.00021892543993752483,-0.00011323418990441356,-0.00013430596014575423
0.49,-0.0032951249846019893,-0.0035680398130933065,0.0011076746443127467,-0.0007177131550075969,0.0010732236696412557,0.00013031495399608067,0.0002178140672527699,-0.00010554746962120165,-0.00013454159060576792
0.5,-0.017714949829851306,-0.0035458927133966006,0.013161213932437216,-0.0007857714535787635,0.0010196721492342587,0.0001891231871352743,0.00021618761768637805,-9.794621896139922e-05,-0.00013458134104225164
0.51,-0.016639656388170776,0.008989646154841059,-0.008978766657153537,-0.0009208097297310411,0.0010290472898645826,0.00019757701437539003,0.00021354807941418517,-9.05673410646588e-05,-0.00013428821305958222
0.52,-0.018179538097670676,-0.008824155611740284,0.009822480133765292,-0.0010584334715718082,0.0010121718268145212,0.0001894167200048942,0.00020954654090004894,-8.32269277754542e-05,-0.00013399670778838373
0.53,-0.01475425644979082,0.0025153016619849254,0.012181461166596706,-0.0011868978759584075,0.0009630677961328898,0.00028713883804580114,0.0002042147826064586,-7.621684486008115e-05,-0.00013326014005527246
0.54,-0.01342241462099767,0.013569941402398165,-0.006375440952603522,-0.001291849395709077,0.0010260798130922388,0.00030395432848264066,0.000197715072484944,-6.913712275889906e-05,-0.0001319532851128563
0.55,-0.002545040604879702,0.0037166599568139507,0.015029547822706865,-0.0013360325706556853,0.0010952465548709305,0.0003350949126854724,0.00019046771957808954,-6.139587353415268e-05,-0.0001304087028128469
0.56,0.008873126680984052,-0.007329663000738748,0.00801665255191684,-0.001269020704914671,0.0010600655411253834,0.0004382822851815831,0.00018333144008274283,-5.348352650274204e-05,-0.00012819418404452955
0.57,0.00033082831037337807,0.005519465108071827,-0.008068962696381049,-0.001187917020139496,0.0010340511144922807,0.00042606506327868404,0.00017693156426330824,-4.587545006478247e-05,-0.00012552616636754966
0.58,0.0050592855890018995,-0.006305563444862222,0.0014188489852157904,-0.001126174853017952,0.0010133120029383585,0.0003809483958260464,0.00017124063661388088,-3.84988958190072e-05,-0.00012314581685402438
0.59,0.012321121356622718,-0.012590815331908846,0.017475621143338893,-0.0010047782450810277,0.0009021785228809627,0.00046364581013407587,0.00016645901208632612,-3.177891885186571e-05,-0.00012057820765345581
0.6,0.005519961786950871,0.009183853297168426,-0.007580471877618089,-0.0008813799170271277,0.0008686513364676337,0.0005014393486971521,0.00016289385950005164,-2.5778918225605234e-05,-0.0001174084316405914
